distribution_slug,name,tdwg_code,level,parent_slug,parent_name,lat,lng,species_count
lee-gu,Guadeloupe,LEE-GU,4,lee,Leeward Is.,16,-61,0
mrn-gu,Guam,MRN-GU,4,mrn,Marianas,13,144,0
mxe-gu,Guanajuato,MXE-GU,4,mxe,Mexico Northeast,20,-101,0
chs-gd,Guangdong,CHS-GD,4,chs,China Southeast,23,113,0
chs-gx,Guangxi,CHS-GX,4,chs,China Southeast,24,109,0
gua,Guatemala,GUA,3,80,Central America,15,-89,8119
mxs-gr,Guerrero,MXS-GR,4,mxs,Mexico Southwest,17,-100,0
gui,Guinea,GUI,3,22,West Tropical Africa,10,-10,3117
gnb,Guinea-Bissau,GNB,3,22,West Tropical Africa,12,-14,1518
chc-gz,Guizhou,CHC-GZ,4,chc,China South-Central,27,107,0
ind-gu,Gujarat,IND-GU,4,ind,India,22,71,0
ggi,Gulf of Guinea Is.,GGI,3,23,West-Central Tropical Africa,2,2,2235
gst,Gulf States,GST,3,35,Arabian Peninsula,29,-85,744
guy,Guyana,GUY,3,82,Northern South America,4,-58,6278
chh,Hainan,CHH,3,36,China,19,109,3660
hai,Haiti,HAI,3,81,Caribbean,19,-72,4124
ind-ha,Haryana,IND-HA,4,ind,India,29,76,0
haw,Hawaii,HAW,3,63,North-Central Pacific,19,-155,2153
haw-hi,Hawaiian Is.,HAW-HI,4,haw,Hawaii,38,-92,0
hmd,Heard-McDonald Is.,HMD,3,90,Subantarctic Islands,-53,72,11
chn-hb,Hebei,CHN-HB,4,chn,China North-Central,39,116,0
chm-hj,Heilongjiang,CHM-HJ,4,chm,Manchuria,48,127,0
chs-he,Henan,CHS-HE,4,chs,China Southeast,34,113,0
mxe-hi,Hidalgo,MXE-HI,4,mxe,Mexico Northeast,20,-99,0
whm-hp,Himachal Pradesh,WHM-HP,4,whm,West Himalaya,31,77,0
jap-hk,Hokkaido,JAP-HK,4,jap,Japan,43,143,0
swc-hc,Honduran Caribbean Is.,SWC-HC,4,swc,Southwest Caribbean,15,-88,0
hon,Honduras,HON,3,80,Central America,15,-86,6567
chs-hk,Hong Kong,CHS-HK,4,chs,China Southeast,22,114,0
jap-hn,Honshu,JAP-HN,4,jap,Japan,37,139,0
hbi,Howland-Baker Is.,HBI,3,60,Southwestern Pacific,45,-87,14
chc-hu,Hubei,CHC-HU,4,chc,China South-Central,31,112,0
chs-hn,Hunan,CHS-HN,4,chs,China Southeast,27,111,0
hun,Hungary,HUN,3,11,Middle Europe,47,19,2672
ice,Iceland,ICE,3,10,Northern Europe,64,-18,848
ida,Idaho,IDA,3,73,Northwestern U.S.A.,43,-114,2698
ill,Illinois,ILL,3,74,North-Central U.S.A.,40,-89,3289
ind,India,IND,3,40,Indian Subcontinent,22,78,7998
ini,Indiana,INI,3,75,Northeastern U.S.A.,40,-86,2250
ncs-in,Ingushetiya,NCS-IN,4,ncs,North Caucasus,43,45,0
chi,Inner Mongolia,CHI,3,36,China,43,114,2242
iow,Iowa,IOW,3,74,North-Central U.S.A.,41,-93,1785
irn,Iran,IRN,3,34,Western Asia,32,54,8134
irq,Iraq,IRQ,3,34,Western Asia,33,44,3219
ire,Ireland,IRE,3,10,Northern Europe,52,-7,1725
nwg-ij,Irian Jaya,NWG-IJ,4,nwg,New Guinea,-7,112,0
irk,Irkutsk,IRK,3,30,Siberia,52,104,1710
pal-is,Israel,PAL-IS,4,pal,Palestine,31,34,0
ita,Italy,ITA,3,13,Southeastern Europe,42,12,6566
ivo,Ivory Coast,IVO,3,22,West Tropical Africa,7,-5,3855
mxs-ja,Jalisco,MXS-JA,4,mxs,Mexico Southwest,20,-103,0
jam,Jamaica,JAM,3,81,Caribbean,18,-77,3546
whm-jk,Jammu-Kashmir,WHM-JK,4,whm,West Himalaya,33,75,0
jap,Japan,JAP,3,38,Eastern Asia,36,139,5738
jaw,Jawa,JAW,3,42,Malesia,-7,109,5586
ind-jk,Jharkhand,IND-JK,4,ind,India,23,85,0
chs-js,Jiangsu,CHS-JS,4,chs,China Southeast,33,119,0
chs-jx,Jiangxi,CHS-JX,4,chs,China Southeast,28,116,0
chm-jl,Jilin,CHM-JL,4,chm,Manchuria,42,125,0
haw-ji,Johnston I.,HAW-JI,4,haw,Hawaii,43,-72,0
pal-jo,Jordan,PAL-JO,4,pal,Palestine,31,36,0
jnf,Juan Fernández Is.,JNF,3,85,Southern South America,28,-16,459
agw-ju,Jujuy,AGW-JU,4,agw,Argentina Northwest,-23,-65,0
ncs-kb,Kabardino-Balkariya,NCS-KB,4,ncs,North Caucasus,43,43,0
bor-ka,Kalimantan,BOR-KA,4,bor,Borneo,1,114,0
blt-ka,Kaliningrad,BLT-KA,4,blt,Baltic States,54,20,0
kam,Kamchatka,KAM,3,31,Russian Far East,57,160,1188
kan,Kansas,KAN,3,74,North-Central U.S.A.,38,-98,1956
ncs-kc,Karacheyevo-Cherkessiya,NCS-KC,4,ncs,North Caucasus,0,0,0
ind-kl,Karaikal,IND-KL,4,ind,India,10,79,0
ind-kt,Karnataka,IND-KT,4,ind,India,14,75,0
kaz,Kazakhstan,KAZ,3,32,Middle Asia,47,65,5233
kzn,Kazan-retto,KZN,3,38,Eastern Asia,30,121,252
kty,Kentucky,KTY,3,78,Southeastern U.S.A.,37,-85,2680
ken,Kenya,KEN,3,25,East Tropical Africa,1,38,6987
ind-ke,Kerala,IND-KE,4,ind,India,10,76,0
keg,Kerguelen,KEG,3,90,Subantarctic Islands,48,-4,88
ker,Kermadec Is.,KER,3,51,New Zealand,-34,122,234
kha,Khabarovsk,KHA,3,31,Russian Far East,48,135,1956
chs-ki,Kin-Men,CHS-KI,4,chs,China Southeast,4,-74,0
kgz,Kirgizstan,KGZ,3,32,Middle Asia,41,74,3892
lin-ki,Kiribati Line Is.,LIN-KI,4,lin,Line Is.,-1,175,0
kor,Korea,KOR,3,38,Eastern Asia,36,127,3718
yug-ko,Kosovo,YUG-KO,4,yug,Yugoslavia,42,20,0
ncs-kr,Krasnodar,NCS-KR,4,ncs,North Caucasus,45,38,0
kra,Krasnoyarsk,KRA,3,30,Siberia,63,97,2125
kri,Kriti,KRI,3,13,Southeastern Europe,51,6,2089
kry,Krym,KRY,3,14,Eastern Europe,45,34,2434
kur,Kuril Is.,KUR,3,31,Russian Far East,50,155,1205
kuw,Kuwait,KUW,3,35,Arabian Peninsula,29,47,329
nat,KwaZulu-Natal,NAT,3,27,Southern Africa,-28,30,5568
jap-ky,Kyushu,JAP-KY,4,jap,Japan,32,131,0
clc-la,La Araucania,CLC-LA,4,clc,Chile Central,-38,-72,0
lab,Labrador,LAB,3,72,Eastern Canada,55,-61,698
ldv,Laccadive Is.,LDV,3,40,Indian Subcontinent,7,75,236
lao,Laos,LAO,3,41,Indo-China,20,103,4844
age-lp,La Pampa,AGE-LP,4,age,Argentina Northeast,-37,-65,0
agw-lr,La Rioja,AGW-LR,4,agw,Argentina Northwest,-29,-67,0
blt-la,Latvia,BLT-LA,4,blt,Baltic States,56,24,0
lbs-lb,Lebanon,LBS-LB,4,lbs,Lebanon-Syria,33,35,0
lbs,Lebanon-Syria,LBS,3,34,Western Asia,34,36,3992
lee,Leeward Is.,LEE,3,81,Caribbean,-49,178,2796
les,Lesotho,LES,3,27,Southern Africa,-29,28,1844
lsi,Lesser Sunda Is.,LSI,3,42,Malesia,-9,120,3098
chm-ln,Liaoning,CHM-LN,4,chm,Manchuria,40,122,0
lbr,Liberia,LBR,3,22,West Tropical Africa,5,-9,2734
lby,Libya,LBY,3,20,Northern Africa,26,18,1943
